id,hike_name,difficulty,num_review,distance,elevation,type,rating,dogs_on_leash,birding,dog_friendly,backpacking,kid_friendly,hiking,wheelchair_friendly,off_road_driving,fishing,camping,mountain_biking,nature_trips,walking,scenic_driving,road_biking,paddle_sports,snowshoeing,trail_running,cross_country_skiing,river,rock_climbing,forest,horseback_riding,lake,cave,views,no_dogs,scramble,beach,waterfall,no_shade,surfing,rocky,nan,skiing,wildlife,wild_flowers,muddy,washed_out,snow,old_growth,over_grown,closed,bugs,hot_springs,off_trail,rails_trails,city_walk,blowdown,private_property,historic_site,dogs,bridge_out
17,Upper Yosemite Falls Trail,HARD,781,5,3175,Out & Back,4.8,,birding,,,,hiking,,,,,,nature_trips,walking,,,,,trail_running,,river,,forest,,,,views,no_dogs,,,waterfall,,,rocky,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
18,Three Sisters Waterfalls Trail,HARD,795,3.5,1036,Out & Back,4.6,,birding,,backpacking,,hiking,,,,,,nature_trips,walking,,,,,trail_running,,river,rock_climbing,forest,,,,views,no_dogs,scramble,,waterfall,no_shade,,rocky,,,,wild_flowers,,,,,over_grown,,,,,,,,,,dogs,
19,Temescal Canyon Trail,MODERATE,842,2.9,875,Loop,4.3,,birding,,backpacking,kid_friendly,hiking,,,,,,,walking,,,,,trail_running,,,,,,,,views,no_dogs,,,waterfall,,,,,,,wild_flowers,,,,,,,,,,,,,,,dogs,
20,Etiwanda Falls Trail,EASY,1034,3.4,803,Out & Back,4.1,,birding,,,kid_friendly,hiking,,,,,,,walking,,,,,trail_running,,river,,,,,,views,no_dogs,,,waterfall,no_shade,,rocky,,,wildlife,,,,,,,,,,,,,,,,dogs,
21,Dawn Mine and Sunset Trail Loop,HARD,538,4.9,1578,Loop,4.5,dogs_on_leash,,,,,hiking,,,,camping,,nature_trips,walking,,,,,trail_running,,river,rock_climbing,forest,,,cave,views,,scramble,,waterfall,,,,,,wildlife,wild_flowers,,,,old_growth,over_grown,,,,,,,,,,dogs,
22,Torrey Pines Beach Trail Loop,EASY,889,2.3,364,Loop,4.5,,birding,,,kid_friendly,hiking,,off_road_driving,,,,nature_trips,walking,,,paddle_sports,,trail_running,,,,,,,,views,no_dogs,,beach,,,surfing,,,,,wild_flowers,,,,,,,,,,,,,,,dogs,
23,Echo Mountain via Sam Merrill Trail,MODERATE,868,5.5,1338,Out & Back,4.4,dogs_on_leash,birding,,,kid_friendly,hiking,,,,camping,mountain_biking,nature_trips,walking,,,,,trail_running,,river,,forest,horseback_riding,,,views,,,,,no_shade,,rocky,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
24,Solstice Canyon Loop Trail,MODERATE,757,3.2,797,Loop,4.3,dogs_on_leash,,,,kid_friendly,hiking,,,,,,nature_trips,walking,,,,,trail_running,,river,,,,,,views,,,,waterfall,,,,,,wildlife,wild_flowers,,,,,,,bugs,,,,,,,,dogs,
25,Lands End Trail,MODERATE,736,3.4,534,Loop,4.5,dogs_on_leash,birding,,,kid_friendly,hiking,,,,,,nature_trips,walking,,,,,trail_running,,,,,,,cave,views,,,beach,,,,,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
26,Berry Creek Falls Trail,HARD,564,12.1,2654,Loop,4.7,,birding,,,,hiking,,,,,,nature_trips,walking,,,,,trail_running,,river,,forest,,,,views,no_dogs,,,waterfall,,,,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
27,Mishe Mokwa Trail to Sandstone Peak,MODERATE,652,5.6,1368,Loop,4.7,dogs_on_leash,birding,,,,hiking,,,,camping,,nature_trips,walking,,,,,trail_running,,,,,,,,views,,scramble,,,,,rocky,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
28,Saratoga Gap Trail and Ridge Trail Loop,MODERATE,602,5,1167,Loop,4.5,,birding,,backpacking,kid_friendly,hiking,,,,camping,mountain_biking,nature_trips,walking,,,,,trail_running,,,rock_climbing,forest,horseback_riding,,,views,no_dogs,scramble,,waterfall,,,rocky,,,,wild_flowers,,,,,,,,,,,,,,,dogs,
29,Paradise Falls Trail,EASY,668,2.7,495,Loop,4.3,dogs_on_leash,,,,kid_friendly,hiking,,,,,mountain_biking,,walking,,road_biking,,,trail_running,,,,,horseback_riding,,,views,,,,waterfall,,,,,,,,,,,,,,,,,,,,,,dogs,
30,Mount Tallac Trail,HARD,612,10.2,3290,Out & Back,4.8,,birding,dog_friendly,,,hiking,,,,camping,,nature_trips,walking,,,,snowshoeing,trail_running,,,rock_climbing,forest,,lake,,views,,scramble,,,,,rocky,,,wildlife,wild_flowers,,,snow,,,,,,,,,,,,,
31,Cedar Creek Falls Trail,HARD,575,4.9,1033,Out & Back,4.5,,birding,,,kid_friendly,hiking,,,,camping,,nature_trips,walking,,,,,trail_running,,,,,,,,views,no_dogs,,,waterfall,no_shade,,rocky,,,,wild_flowers,,,,,,,,,,,,,,,dogs,
32,Claremont Hills Wilderness Trail,MODERATE,785,4.7,846,Loop,4.4,,birding,dog_friendly,,kid_friendly,hiking,,,fishing,,mountain_biking,nature_trips,walking,,,,,trail_running,,,,forest,horseback_riding,,,views,,,,,,,,,,wildlife,wild_flowers,,,,,,,,,,,,,,,,
33,Icehouse Canyon to Cucamonga Peak Trail,HARD,575,10.2,4192,Out & Back,4.8,dogs_on_leash,birding,,backpacking,,hiking,,,,camping,,nature_trips,walking,,,,,trail_running,,,,,,,,views,,,,waterfall,,,,,,wildlife,wild_flowers,,,snow,,,,bugs,,,,,,,,dogs,
34,Lake Hodges Overlook Trail,MODERATE,769,6.1,1272,Out & Back,4.3,dogs_on_leash,birding,,,,hiking,,,,,mountain_biking,nature_trips,walking,,,paddle_sports,,trail_running,,river,,forest,horseback_riding,lake,,views,,,,,no_shade,,rocky,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
35,Los Penasquitos Canyon Trail,EASY,752,6.8,147,Loop,4.2,dogs_on_leash,birding,,,kid_friendly,hiking,wheelchair_friendly,,,,mountain_biking,nature_trips,walking,,,paddle_sports,,trail_running,,river,,forest,,,,views,,,,waterfall,,,rocky,,,wildlife,wild_flowers,muddy,,,,,,,,,,,,,,dogs,
36,Santa Margarita River Trail,MODERATE,667,5,469,Out & Back,4.2,dogs_on_leash,,,,kid_friendly,hiking,,,,,mountain_biking,nature_trips,walking,,,,,trail_running,,river,,forest,horseback_riding,,,views,,,,,,,rocky,,,wildlife,wild_flowers,,washed_out,,,,,,,,,,,,,dogs,
37,Clementine Trail to Clarks Pool,MODERATE,618,4.5,698,Out & Back,4.2,,birding,,backpacking,kid_friendly,hiking,,,fishing,,mountain_biking,nature_trips,walking,,,paddle_sports,,trail_running,,river,,,horseback_riding,lake,,views,no_dogs,,,waterfall,,,,,,wildlife,,,washed_out,,,,,,,,,,,,,dogs,
38,Escondido Falls Trail,EASY,591,3.7,633,Out & Back,3.9,dogs_on_leash,birding,,,kid_friendly,hiking,,,,,mountain_biking,nature_trips,walking,,,,,trail_running,,river,,forest,,,,views,,,,waterfall,,,rocky,,,wildlife,wild_flowers,muddy,,,,,,,,,,,,,,dogs,
39,Eagle Lake Trail,MODERATE,469,1.7,433,Out & Back,4.5,dogs_on_leash,,,,kid_friendly,hiking,,,,,,nature_trips,walking,,,,snowshoeing,trail_running,,river,,forest,,lake,,views,,,,waterfall,,,rocky,,,wildlife,wild_flowers,,,snow,,,,,,,,,,,,dogs,
40,Switzer Falls via Gabrielino Trail,MODERATE,430,3,574,Out & Back,4.4,dogs_on_leash,birding,,,kid_friendly,hiking,,,,camping,,nature_trips,walking,,,,,,,river,,forest,,,,views,,,,waterfall,,,rocky,,,wildlife,wild_flowers,,,,,,,bugs,,,,,,,,dogs,
